ds,yhat
2024-03-22,16322.817643833252
2024-07-15,20125.12488522584
2024-07-16,20206.913026220456
2024-08-19,20090.68210904881
2024-08-20,20172.440935732768
2024-08-21,20335.719705788622
2024-08-22,20444.955024073817
2024-08-23,20383.805661536728
2024-08-24,-4957.653404601218
2024-08-25,-4958.643736673466
2024-08-26,20083.787696116982
2024-08-27,20165.546523354482
2024-08-28,20328.825293639155
2024-08-29,20438.06061193149
2024-08-30,20376.9112493696
2024-08-31,-4964.547816781151
2024-09-01,-4965.53814881514
2024-09-02,20076.893283966852
2024-09-03,20158.652111197945
2024-09-04,20321.93088149016
2024-09-05,20431.166199789164
2024-09-06,20370.016837220504
2024-09-07,-4971.442228866674
2024-09-08,-4972.432561028027
2024-09-09,20069.998871835043
2024-09-10,20151.75769904141
2024-09-11,20315.036469340692
2024-09-12,20424.271787620084
2024-09-13,20363.122425071408
2024-09-14,-4978.336641023998
2024-09-15,-4979.326973192408
2024-09-16,20063.104459703234
2024-09-17,20144.863286895164
2024-09-18,20308.14205719065
2024-09-19,20417.377375467884
2024-09-20,20356.228012904277
2024-09-21,-4985.231053181316
2024-09-22,-4986.221385311372
