ds,yhat
2024-03-22,43752.407084407925
2024-07-15,53345.50380522277
2024-07-16,53395.206208138385
2024-08-19,55558.172999758026
2024-08-20,55607.75554475571
2024-08-21,54237.94888596653
2024-08-22,54375.40568717633
2024-08-23,53517.86264452152
2024-08-24,-15182.626258994722
2024-08-25,-15119.438913687969
2024-08-26,56000.68286650223
2024-08-27,56050.26541141208
2024-08-28,54680.458752555496
2024-08-29,54817.915553784056
2024-08-30,53960.37251106051
2024-08-31,-14740.116392490047
2024-09-01,-14676.92904707721
2024-09-02,56443.192733091404
2024-09-03,56492.77527798021
2024-09-04,55122.96861913946
2024-09-05,55260.425420391795
2024-09-06,54402.8823776498
2024-09-07,-14297.606525727257
2024-09-08,-14234.419180668541
2024-09-09,56885.70259972777
2024-09-10,56935.285144548354
2024-09-11,55565.478485728425
2024-09-12,55702.9352869264
2024-09-13,54845.39224423912
2024-09-14,-13855.096659161252
2024-09-15,-13791.909314118006
2024-09-16,57328.21246636412
2024-09-17,57377.79501114128
2024-09-18,56007.988352319
2024-09-19,56145.445153504814
2024-09-20,55287.9021107781
2024-09-21,-13412.586792595233
2024-09-22,-13349.399447447016
