ds,yhat
2024-03-22,17504.107744166336
2024-07-15,21404.108322979904
2024-07-16,21496.774041712197
2024-08-19,21396.1721017901
2024-08-20,21488.809496379712
2024-08-21,21617.666163313494
2024-08-22,21760.299170518607
2024-08-23,21644.323473267268
2024-08-24,-5973.718824783424
2024-08-25,-5973.962658061093
2024-08-26,21394.57919260167
2024-08-27,21487.216587257542
2024-08-28,21616.073254235154
2024-08-29,21758.706261448006
2024-08-30,21642.7305641696
2024-08-31,-5975.311733894981
2024-09-01,-5975.55556713093
2024-09-02,21392.98628352268
2024-09-03,21485.623678171447
2024-09-04,21614.480345157142
2024-09-05,21757.113352377404
2024-09-06,21641.13765509158
2024-09-07,-5976.904642903655
2024-09-08,-5977.148476278619
2024-09-09,21391.39337446353
2024-09-10,21484.03076908535
2024-09-11,21612.887436078807
2024-09-12,21755.520443277645
2024-09-13,21639.544746013555
2024-09-14,-5978.497551990638
2024-09-15,-5978.7413853731
2024-09-16,21389.800465404383
2024-09-17,21482.437860010352
2024-09-18,21611.294526999834
2024-09-19,21753.92753419623
2024-09-20,21637.95183691589
2024-09-21,-5980.090461077614
2024-09-22,-5980.334294418282
