ds,yhat
2024-03-22,10765.381383903848
2024-07-15,13427.958287627294
2024-07-16,13498.828352687613
2024-08-19,13826.629896671715
2024-08-20,13897.499558043231
2024-08-21,13977.756776945353
2024-08-22,14090.645530888454
2024-08-23,13988.328195643291
2024-08-24,-2741.2073534198626
2024-08-25,-2729.8192001237494
2024-08-26,13906.364137938222
2024-08-27,13977.233799332804
2024-08-28,14057.4910182257
2024-08-29,14170.37977217344
2024-08-30,14068.062436911847
2024-08-31,-2661.473112159678
2024-09-01,-2650.084958838259
2024-09-02,13986.098379218194
2024-09-03,14056.968040608412
2024-09-04,14137.225259506116
2024-09-05,14250.114013458424
2024-09-06,14147.796678192313
2024-09-07,-2581.7388708371545
2024-09-08,-2570.3507176000912
2024-09-09,14065.832620510115
2024-09-10,14136.70228188402
2024-09-11,14216.959500786463
2024-09-12,14329.848254725779
2024-09-13,14227.530919472776
2024-09-14,-2502.004629562107
2024-09-15,-2490.6164763294837
2024-09-16,14145.566861802034
2024-09-17,14216.436523166278
2024-09-18,14296.693742066349
2024-09-19,14409.582496004175
2024-09-20,14307.265160741332
2024-09-21,-2422.270388287061
2024-09-22,-2410.882235029114
