ds,yhat
2024-03-22,10403.03615754138
2024-07-15,12493.271816010089
2024-07-16,12573.774891316605
2024-08-19,12760.461272502878
2024-08-20,12840.905910592153
2024-08-21,12938.162921327752
2024-08-22,13067.104247798969
2024-08-23,12960.625815491909
2024-08-24,-3196.5895485299843
2024-08-25,-3188.9599873037714
2024-08-26,12813.887476145723
2024-08-27,12894.332114243905
2024-08-28,12991.589124992239
2024-08-29,13120.530451467932
2024-08-30,13014.052019145041
2024-08-31,-3143.163344884908
2024-09-01,-3135.533783634326
2024-09-02,12867.31367980984
2024-09-03,12947.758317903843
2024-09-04,13045.015328656895
2024-09-05,13173.956655136895
2024-09-06,13067.478222809608
2024-09-07,-3089.7371411797085
2024-09-08,-3082.1075800104263
2024-09-09,12920.739883485492
2024-09-10,13001.184521563784
2024-09-11,13098.441532321383
2024-09-12,13227.382858788846
2024-09-13,13120.904426474175
2024-09-14,-3036.310937520333
2024-09-15,-3028.6813763553164
2024-09-16,12974.166087161146
2024-09-17,13054.610725230172
2024-09-18,13151.86773598534
2024-09-19,13280.809062451512
2024-09-20,13174.330630127308
2024-09-21,-2982.8847338609557
2024-09-22,-2975.255172671532
