ds,yhat
2024-03-22,52222.040100345315
2024-07-15,65592.38030450599
2024-07-16,65857.53589120126
2024-08-19,64468.49718155342
2024-08-20,64733.5318951045
2024-08-21,65012.33514704325
2024-08-22,65440.964621405685
2024-08-23,65122.26269657585
2024-08-24,-16013.276361299417
2024-08-25,-16045.441081559475
2024-08-26,64243.696381472735
2024-08-27,64508.73109541093
2024-08-28,64787.534347695
2024-08-29,65216.16382208024
2024-08-30,64897.46189717099
2024-08-31,-16238.077160745052
2024-09-01,-16270.241880882655
2024-09-02,64018.89558212268
2024-09-03,64283.930296039944
2024-09-04,64562.73354834791
2024-09-05,64991.363022754806
2024-09-06,64672.661097823664
2024-09-07,-16462.877959888596
2024-09-08,-16495.04268043438
2024-09-09,63794.09478283085
2024-09-10,64059.12949666895
2024-09-11,64337.93274899966
2024-09-12,64766.56222334353
2024-09-13,64447.86029847634
2024-09-14,-16687.67875926219
2024-09-15,-16719.843479829862
2024-09-16,63569.29398353903
2024-09-17,63834.32869733062
2024-09-18,64113.131949649716
2024-09-19,64541.76142398648
2024-09-20,64223.05949907149
2024-09-21,-16912.479558635772
2024-09-22,-16944.644279080734
