ds,yhat
2024-03-22,18015.438706091234
2024-07-15,21674.901626326548
2024-07-16,21709.389095026603
2024-08-19,21858.481646323555
2024-08-20,21892.90245570727
2024-08-21,21979.651353803714
2024-08-22,22031.213932202973
2024-08-23,22256.324431148612
2024-08-24,-5627.876701996458
2024-08-25,-5622.638401713888
2024-08-26,21895.184320384258
2024-08-27,21929.605130079683
2024-08-28,22016.35402826208
2024-08-29,22067.916606669547
2024-08-30,22293.027105587946
2024-08-31,-5591.174027571504
2024-09-01,-5585.9357272467805
2024-09-02,21931.88699484191
2024-09-03,21966.307804530377
2024-09-04,22053.056702721446
2024-09-05,22104.619281136118
2024-09-06,22329.729780047157
2024-09-07,-5554.471353042372
2024-09-08,-5549.233052857806
2024-09-09,21968.58966932006
2024-09-10,22003.010478981072
2024-09-11,22089.759377179813
2024-09-12,22141.321955572697
2024-09-13,22366.432454506376
2024-09-14,-5517.768678592352
2024-09-15,-5512.530378415982
2024-09-16,22005.29234379821
2024-09-17,22039.71315344342
2024-09-18,22126.46205163827
2024-09-19,22178.024630028514
2024-09-20,22403.13512894571
2024-09-21,-5481.066004142334
2024-09-22,-5475.827703923593
