ds,yhat
2024-03-22,59199.97156864302
2024-07-15,74080.08095987927
2024-07-16,74157.65713625155
2024-08-19,73658.0455391217
2024-08-20,73735.35868333052
2024-08-21,74178.58046355733
2024-08-22,74660.42982458067
2024-08-23,74392.49134097468
2024-08-24,-19170.48402360284
2024-08-25,-19182.529661672444
2024-08-26,73573.58585134632
2024-08-27,73650.89899583877
2024-08-28,74094.1207760573
2024-08-29,74575.9701371069
2024-08-30,74308.03165340901
2024-08-31,-19254.943711215776
2024-09-01,-19266.989349143812
2024-09-02,73489.12616384377
2024-09-03,73566.43930831223
2024-09-04,74009.66108855812
2024-09-05,74491.5104496331
2024-09-06,74223.57196591022
2024-09-07,-19339.403398479895
2024-09-08,-19351.449036879087
2024-09-09,73404.66647640862
2024-09-10,73481.97962078569
2024-09-11,73925.20140105809
2024-09-12,74407.05076206004
2024-09-13,74139.11227841143
2024-09-14,-19423.863086009223
2024-09-15,-19435.908724434245
2024-09-16,73320.20678897346
2024-09-17,73397.51993329677
2024-09-18,73840.74171355572
2024-09-19,74322.59107454937
2024-09-20,74054.65259084577
2024-09-21,-19508.32277353856
2024-09-22,-19520.3684118218
