ds,yhat
2024-03-22,13830.305407218106
2024-07-15,15986.433426151845
2024-07-16,16039.954125038377
2024-08-19,16680.60460377193
2024-08-20,16705.565279236896
2024-08-21,16894.41239911916
2024-08-22,17057.57606258046
2024-08-23,17076.200217942907
2024-08-24,-119956.51149086925
2024-08-25,157933.15658176856
2024-08-26,16676.77752279184
2024-08-27,16711.105680905977
2024-08-28,16898.67491443306
2024-08-29,17061.838578121617
2024-08-30,17080.462733645174
2024-08-31,-119952.24897500857
2024-09-01,157937.41909750062
2024-09-02,16681.040038141313
2024-09-03,16715.368196448355
2024-09-04,16902.937430874048
2024-09-05,17066.101093662775
2024-09-06,17084.725248994575
2024-09-07,-119947.98645967526
2024-09-08,157941.68161284458
2024-09-09,16685.302553840636
2024-09-10,16719.630711990732
2024-09-11,16907.199946187953
2024-09-12,17070.363609384523
2024-09-13,17088.987764343954
2024-09-14,-119943.72394394185
2024-09-15,157945.94412845315
2024-09-16,16689.565069539967
2024-09-17,16723.89322804
2024-09-18,16911.46246173804
2024-09-19,17074.626125434257
2024-09-20,17093.250280046235
2024-09-21,-119939.46142820851
2024-09-22,157950.20664430875
