ds,yhat
2024-03-22,11223.129394541595
2024-07-15,13100.98755879677
2024-07-16,13100.573441504604
2024-08-19,13207.946689673352
2024-08-20,13207.538336022404
2024-08-21,13258.407970124783
2024-08-22,13227.367842008807
2024-08-23,13140.35187284957
2024-08-24,-4356.041324116019
2024-08-25,-4352.987700669584
2024-08-26,13229.378860412548
2024-08-27,13228.970506661135
2024-08-28,13279.84014070113
2024-08-29,13248.800012589998
2024-08-30,13161.784043413463
2024-08-31,-4334.609153561056
2024-09-01,-4331.555530087895
2024-09-02,13250.811030988441
2024-09-03,13250.402677232436
2024-09-04,13301.272311277187
2024-09-05,13270.232183171189
2024-09-06,13183.216213990141
2024-09-07,-4313.176982940595
2024-09-08,-4310.123359556086
2024-09-09,13272.243201576941
2024-09-10,13271.834847803737
2024-09-11,13322.704481853532
2024-09-12,13291.664353734048
2024-09-13,13204.64838456682
2024-09-14,-4291.744812369765
2024-09-15,-4288.6911889902
2024-09-16,13293.675372165439
2024-09-17,13293.267018381957
2024-09-18,13344.136652429708
2024-09-19,13313.096524308066
2024-09-20,13226.080555130715
2024-09-21,-4270.312641798935
2024-09-22,-4267.259018392706
