ds,yhat
2024-03-22,9106.519410294506
2024-07-15,11181.431651145987
2024-07-16,11172.798582907184
2024-08-19,11649.901585262971
2024-08-20,11641.196989298847
2024-08-21,11381.077951415038
2024-08-22,11345.97318882288
2024-08-23,11185.136595807284
2024-08-24,-3072.1050164634216
2024-08-25,-3058.7234487933056
2024-08-26,11743.581268062717
2024-08-27,11734.876672442646
2024-08-28,11474.75763473374
2024-08-29,11439.652872145476
2024-08-30,11278.816279115585
2024-08-31,-2978.425333162326
2024-09-01,-2965.0437654701036
2024-09-02,11837.260951381406
2024-09-03,11828.556355757011
2024-09-04,11568.437318051338
2024-09-05,11533.332555468072
2024-09-06,11372.495962434456
2024-09-07,-2884.745649807547
2024-09-08,-2871.3640821888957
2024-09-09,11930.940634709976
2024-09-10,11922.236039071382
2024-09-11,11662.117001370038
2024-09-12,11627.012238775578
2024-09-13,11466.175645753327
2024-09-14,-2791.0659664935747
2024-09-15,-2777.6843988783266
2024-09-16,12024.620318038546
2024-09-17,12015.915722390928
2024-09-18,11755.796684689158
2024-09-19,11720.691922092003
2024-09-20,11559.855329061626
2024-09-21,-2697.386283179603
2024-09-22,-2684.0047155424963
