ds,yhat
2024-03-22,6890.064937471387
2024-07-15,7385.093015252465
2024-07-16,7434.065618227007
2024-08-19,6964.520107294029
2024-08-20,7013.48521712133
2024-08-21,7012.4473957823
2024-08-22,7059.603658801227
2024-08-23,7016.173942955429
2024-08-24,-3426.7153976868394
2024-08-25,-3438.732055164289
2024-08-26,6880.404027344237
2024-08-27,6929.369137188751
2024-08-28,6928.331315871275
2024-08-29,6975.48757889316
2024-08-30,6932.057863037176
2024-08-31,-3510.831477610325
2024-09-01,-3522.8481350720476
2024-09-02,6796.28794743304
2024-09-03,6845.253057274831
2024-09-04,6844.215235960446
2024-09-05,6891.371498985096
2024-09-06,6847.941783126271
2024-09-07,-3594.9475574949747
2024-09-08,-3606.9642150092045
2024-09-09,6712.171867529314
2024-09-10,6761.136977360912
2024-09-11,6760.09915604942
2024-09-12,6807.255419065976
2024-09-13,6763.825703215367
2024-09-14,-3679.063637409243
2024-09-15,-3691.0802949262243
2024-09-16,6628.055787625588
2024-09-17,6677.020897451192
2024-09-18,6675.983076138282
2024-09-19,6723.139339153888
2024-09-20,6679.709623297114
2024-09-21,-3763.17971732351
2024-09-22,-3775.1963748247226
