ds,yhat
2024-03-22,18813.79675903796
2024-07-15,20794.48154452567
2024-07-16,20823.053121046712
2024-08-19,22287.91987740479
2024-08-20,22316.635208265227
2024-08-21,22577.917992487775
2024-08-22,22546.107441439948
2024-08-23,22529.68878656597
2024-08-24,-6663.572371470671
2024-08-25,-6620.902525998243
2024-08-26,22586.636294776712
2024-08-27,22615.35162564751
2024-08-28,22876.634409874783
2024-08-29,22844.823858835127
2024-08-30,22828.405203932332
2024-08-31,-6364.855954119328
2024-09-01,-6322.186108602353
2024-09-02,22885.352712162778
2024-09-03,22914.0680430262
2024-09-04,23175.350827261762
2024-09-05,23143.540276230306
2024-09-06,23127.12162132003
2024-09-07,-6066.1395366586075
2024-09-08,-6023.469691289183
2024-09-09,23184.06912957016
2024-09-10,23212.784460404895
2024-09-11,23474.067244648766
2024-09-12,23442.25669359486
2024-09-13,23425.838038707734
2024-09-14,-5767.42311928066
2024-09-15,-5724.753273919892
2024-09-16,23482.785546977546
2024-09-17,23511.50087779541
2024-09-18,23772.78366203534
2024-09-19,23740.973110978186
2024-09-20,23724.554456074096
2024-09-21,-5468.706701902718
2024-09-22,-5426.036856497416
