ds,yhat
2024-03-22,23455.050396367442
2024-07-15,26073.32685520826
2024-07-16,26190.00952670481
2024-08-19,25210.039073284708
2024-08-20,25326.62979511576
2024-08-21,25389.927055995217
2024-08-22,25534.337385270046
2024-08-23,25500.366885304044
2024-08-24,-10922.495344692661
2024-08-25,-10947.145759803861
2024-08-26,25037.363127457946
2024-08-27,25153.95384908455
2024-08-28,25217.25110969761
2024-08-29,25361.661438982832
2024-08-30,25327.690938981264
2024-08-31,-11095.171291033856
2024-09-01,-11119.821706090122
2024-09-02,24864.687181159577
2024-09-03,24981.277902776834
2024-09-04,25044.57516340079
2024-09-05,25188.985492695625
2024-09-06,25155.01499268425
2024-09-07,-11267.8472372394
2024-09-08,-11292.497652478794
2024-09-09,24692.01123488748
2024-09-10,24808.60195646911
2024-09-11,24871.899217103175
2024-09-12,25016.309546369703
2024-09-13,24982.339046387235
2024-09-14,-11440.523183548234
2024-09-15,-11465.173598797586
2024-09-16,24519.33528861538
2024-09-17,24635.92601017619
2024-09-18,24699.22327080519
2024-09-19,24843.633600068402
2024-09-20,24809.66310006445
2024-09-21,-11613.199129857068
2024-09-22,-11637.849545051306
