ds,yhat
2017-07-03,2340.2047149558534
2017-07-04,2339.668476835436
2017-07-05,2335.4506928996393
2017-07-06,2336.1659652723247
2017-07-07,2335.610885385941
2017-07-10,2338.38490777955
2017-07-11,2337.848669659111
2017-07-12,2333.630885723314
2017-07-13,2334.346061358431
2017-07-14,2333.790884734497
2017-07-17,2336.564616915401
2017-07-18,2336.0282820574294
2017-07-19,2331.810401384068
2017-07-20,2332.5255770191857
2017-07-21,2331.970402410436
2017-07-24,2334.74414063694
2017-07-25,2334.2078077941737
2017-07-26,2329.989929136014
2017-07-27,2330.7051067863317
2017-07-28,2330.149932177583
2017-07-31,2332.9236704040927
2017-08-01,2332.3873581329153
2017-08-02,2328.1695000463574
2017-08-03,2328.884698268275
2017-08-04,2328.329544231129
2017-08-07,2331.1033441724385
2017-08-08,2330.567031901253
2017-08-09,2326.349201069159
2017-08-10,2327.064426545531
2017-08-11,2326.509299762845
2017-08-14,2329.283181467521
2017-08-16,2324.5290656187094
2017-08-17,2325.2442910950863
2017-08-18,2324.689164312394
2017-08-21,2329.468512233395
2017-08-23,2326.051373862123
2017-08-24,2327.4350880772745
2017-08-28,2332.327797954368
2017-08-29,2332.460001676407
2017-08-30,2328.9106595830867
2017-08-31,2330.2943737982323
2017-09-01,2331.0575272384813
2017-09-04,2337.7862496119765
2017-09-05,2338.5682448181774
2017-09-06,2335.66869420901
2017-09-07,2337.7021999083204
2017-09-08,2338.4653533485543
2017-09-11,2345.194593969498
2017-09-12,2345.976761924861
2017-09-13,2343.07738406485
2017-09-14,2345.1110625133156
2017-09-15,2345.874388702695
2017-09-18,2352.6036293236493
2017-09-19,2353.385797278997
2017-09-20,2350.486419409075
2017-09-21,2352.520097847618
2017-09-22,2353.283424027108
2017-09-25,2360.0126646183217
2017-09-26,2360.794832563742
2017-09-27,2357.8954546938294
2017-09-28,2360.0637978227264
2017-09-29,2360.9617886925403
2017-10-03,2369.0118559905914
2017-10-04,2366.2471428110057
2017-10-05,2368.4154859399005
2017-10-06,2369.313476809706
2017-10-09,2376.446711471976
2017-10-10,2377.3635795367754
2017-10-11,2374.5989017862025
2017-10-12,2376.7672803441214
2017-10-13,2377.665306642956
2017-10-16,2384.798647592249
2017-10-17,2385.7155156570384
2017-10-18,2382.950837906477
2017-10-19,2385.1192248920356
2017-10-23,2393.1506258508152
2017-10-24,2394.0675023432614
2017-10-25,2391.302833020345
2017-10-26,2393.4712200059043
2017-10-27,2394.3692547324117
2017-10-30,2401.495244963737
2017-10-31,2402.4096627892486
2017-11-01,2399.6425347993654
2017-11-02,2401.8084631179695
2017-11-03,2402.704039177497
2017-11-06,2409.830029408831
2017-11-07,2410.7444472343277
2017-11-08,2407.9771484655544
2017-11-09,2410.1429060052574
2017-11-10,2411.038311285904
2017-11-13,2418.163789180573
2017-11-14,2419.078036227175
2017-11-15,2416.3107374583997
2017-11-16,2418.476505465588
2017-11-17,2419.3719212137125
2017-11-20,2426.497430510844
2017-11-21,2427.4116880249458
2017-11-22,2424.644399723661
2017-11-23,2426.810167730851
2017-11-24,2427.705583478966
2017-11-27,2434.831205499838
2017-11-28,2435.745500588505
2017-11-29,2432.978249861801
2017-11-30,2435.14405544356
2017-12-01,2436.039508766267
2017-12-04,2443.165130787132
2017-12-05,2444.0794258757887
2017-12-06,2443.1145220760222
2017-12-07,2447.0826745847207
2017-12-08,2449.780474834356
2017-12-11,2462.313137636006
2017-12-12,2465.0297796516193
2017-12-13,2464.0648758518473
2017-12-14,2468.4560040386286
2017-12-15,2471.576779966338
2017-12-18,2485.378369802239
2017-12-19,2488.517987495918
2017-12-20,2487.976059374227
2017-12-21,2492.36718756101
2017-12-22,2495.4879634887316
2017-12-26,2512.4292508355898
2017-12-27,2511.887342668231
2017-12-28,2516.2784908093336
2017-12-29,2519.3992866913673
2018-01-01,2533.200936390252
2018-01-02,2536.340574038244
2018-01-03,2535.79866036885
2018-01-04,2540.1898030079287
