ds,yhat
2024-03-22,1069.3697225870828
2024-07-15,1112.5306235456624
2024-07-16,1104.4864651485505
2024-08-19,1120.7994597217412
2024-08-20,1112.7228894560296
2024-08-21,1112.9395979903957
2024-08-22,1109.1897465698896
2024-08-23,1110.1681964053964
2024-08-24,-554.9402601810688
2024-08-25,-554.7041114094794
2024-08-26,1122.4467445535074
2024-08-27,1114.3701742837852
2024-08-28,1114.586882819246
2024-08-29,1110.8370313992098
2024-08-30,1111.815481233064
2024-08-31,-553.2929753542617
2024-09-01,-553.0568265801198
2024-09-02,1124.0940293823091
2024-09-03,1116.0174591121497
2024-09-04,1116.234167648066
2024-09-05,1112.48431622853
2024-09-06,1113.4627660619594
2024-09-07,-551.6456905212052
2024-09-08,-551.4095417555171
2024-09-09,1125.7413142123194
2024-09-10,1117.6647439405144
2024-09-11,1117.8814524769164
2024-09-12,1114.1316010560759
2024-09-13,1115.1100508908546
2024-09-14,-549.9984056928762
2024-09-15,-549.7622569276728
2024-09-16,1127.3885990423296
2024-09-17,1119.3120287695408
2024-09-18,1119.5287373057643
2024-09-19,1115.7788858847061
2024-09-20,1116.7573357185224
2024-09-21,-548.351120864547
2024-09-22,-548.1149720967977
