ds,yhat
2024-08-19,15160.59840852
2024-08-20,15263.15846509575
2024-08-21,15350.99851222965
2024-08-22,15390.95853430305
2024-08-23,15404.668575068024
2024-08-24,15418.378615833
2024-08-25,15432.088656597976
2024-08-26,15445.79869736295
2024-08-27,15459.508738127926
2024-08-28,15473.2187788929
2024-08-29,15486.928819657876
2024-08-30,15500.638860422849
2024-08-31,15514.348901187826
2024-09-01,15528.058941952799
2024-09-02,15541.768982717776
2024-09-03,15555.479023482752
2024-09-04,15569.189064247725
2024-09-05,15582.899105012702
2024-09-06,15596.609145777675
2024-09-07,15610.319186542652
2024-09-08,15624.029227307625
2024-09-09,15637.7392680726
2024-09-10,15651.449308837575
2024-09-11,15665.15934960255
2024-09-12,15678.869390367525
2024-09-13,15692.5794311325
2024-09-14,15706.289471897475
2024-09-15,15719.99951266245
2024-09-16,15733.709553427423
2024-09-17,15747.4195941924
2024-09-18,15761.129634957377
2024-09-19,15774.83967572235
2024-09-20,15788.549716487327
2024-09-21,15802.259757252301
2024-09-22,15815.969798017277
