ds,yhat
2024-03-22,27623.819880757364
2024-07-15,31065.42817257098
2024-07-16,31171.76891524574
2024-08-19,31266.563112395303
2024-08-20,31372.87420137994
2024-08-21,31401.558621788747
2024-08-22,31458.681944755197
2024-08-23,31408.221979593807
2024-08-24,-11546.711133128836
2024-08-25,-11540.995773053048
2024-08-26,31306.78418766013
2024-08-27,31413.095276036496
2024-08-28,31441.77969687619
2024-08-29,31498.903019854835
2024-08-30,31448.443054651263
2024-08-31,-11506.490058093223
2024-09-01,-11500.77469795223
2024-09-02,31347.0052627467
2024-09-03,31453.31635111184
2024-09-04,31482.00077196388
2024-09-05,31539.12409495448
2024-09-06,31488.664129739547
2024-09-07,-11466.268982897134
2024-09-08,-11460.553622973115
2024-09-09,31387.226337864246
2024-09-10,31493.537426187184
2024-09-11,31522.22184705132
2024-09-12,31579.345170008604
2024-09-13,31528.88520482783
2024-09-14,-11426.04790782302
2024-09-15,-11420.332547910864
2024-09-16,31427.44741298179
2024-09-17,31533.758501279786
2024-09-18,31562.442922138667
2024-09-19,31619.566245091206
2024-09-20,31569.10627988528
2024-09-21,-11385.826832748902
2024-09-22,-11380.111472771488
