ds,yhat
2024-03-22,7685.527202135184
2024-07-15,8899.243907388929
2024-07-16,8929.314582376319
2024-08-19,9166.433514638838
2024-08-20,9203.01418529502
2024-08-21,9243.128823985682
2024-08-22,9252.182659815888
2024-08-23,9210.84554384039
2024-08-24,-57160.55565154896
2024-08-25,-17184.463137062343
2024-08-26,9265.441042149085
2024-08-27,9302.02170546581
2024-08-28,9342.136337793554
2024-08-29,9351.190173669647
2024-08-30,9309.85305767132
2024-08-31,-57061.54813771911
2024-09-01,-17085.455623179878
2024-09-02,9364.448555961035
2024-09-03,9401.029219293237
2024-09-04,9441.143851763329
2024-09-05,9450.19768752341
2024-09-06,9408.860571485327
2024-09-07,-56962.540623790446
2024-09-08,-16986.448109485937
2024-09-09,9463.456069856991
2024-09-10,9500.036733120663
2024-09-11,9540.151365571197
2024-09-12,9549.205201353696
2024-09-13,9507.868085299331
2024-09-14,-56863.53310993678
2024-09-15,-16887.4405956633
2024-09-16,9562.463583752953
2024-09-17,9599.044247039645
2024-09-18,9639.158879413035
2024-09-19,9648.212715261772
2024-09-20,9606.87559913026
2024-09-21,-56764.52559608311
2024-09-22,-16788.433081720992
