ds,yhat
2024-03-22,6971.653759633493
2024-07-15,8812.767325277939
2024-07-16,8842.16694449083
2024-08-19,8825.995900814873
2024-08-20,8855.395521336437
2024-08-21,9010.305152122783
2024-08-22,9033.954894676024
2024-08-23,9031.247825545128
2024-08-24,-1772.2383391342182
2024-08-25,-1771.8660407321513
2024-08-26,8828.641625549588
2024-08-27,8858.041246086557
2024-08-28,9012.950876865876
2024-08-29,9036.600619422163
2024-08-30,9033.893550280714
2024-08-31,-1769.5926144041405
2024-09-01,-1769.220315985789
2024-09-02,8831.287350292288
2024-09-03,8860.686970826673
2024-09-04,9015.59660160931
2024-09-05,9039.2463441683
2024-09-06,9036.539275024024
2024-09-07,-1766.9468896338221
2024-09-08,-1766.5745912695302
2024-09-09,8833.93307504292
2024-09-10,8863.332695566787
2024-09-11,9018.242326352403
2024-09-12,9041.892068903118
2024-09-13,9039.184999767333
2024-09-14,-1764.301164894022
2024-09-15,-1763.9288665329623
2024-09-16,8836.578799793551
2024-09-17,8865.9784203114
2024-09-18,9020.888051095139
2024-09-19,9044.537793645066
2024-09-20,9041.83072450292
2024-09-21,-1761.6554401542217
2024-09-22,-1761.2831417767993
