ds,yhat
2024-03-22,42841.91978298782
2024-07-15,52102.632112051964
2024-07-16,52121.598185359435
2024-08-19,54275.736528711976
2024-08-20,54294.53455825734
2024-08-21,53153.20617598353
2024-08-22,53162.46219780228
2024-08-23,52462.02475220681
2024-08-24,-14765.822385319356
2024-08-25,-14703.749880059288
2024-08-26,54710.32380372721
2024-08-27,54729.12183338794
2024-08-28,53587.79345069156
2024-08-29,53597.049472528786
2024-08-30,52896.6120268661
2024-08-31,-14331.23511069388
2024-09-01,-14269.162605329999
2024-09-02,55144.91107843515
2024-09-03,55163.70910807572
2024-09-04,54022.38072539518
2024-09-05,54031.636747255296
2024-09-06,53331.1993015748
2024-09-07,-13896.647835815711
2024-09-08,-13834.575330797794
2024-09-09,55579.49835318973
2024-09-10,55598.29638276352
2024-09-11,54456.968000103225
2024-09-12,54466.224021910384
2024-09-13,53765.78657628351
2024-09-14,-13462.060561129882
2024-09-15,-13399.988056127884
2024-09-16,56014.08562794431
2024-09-17,56032.88365747595
2024-09-18,54891.55527481284
2024-09-19,54900.81129660824
2024-09-20,54200.37385094281
2024-09-21,-13027.473286444045
2024-09-22,-12965.400781339224
