ds,yhat
2024-03-22,22863.871874949444
2024-07-15,28850.463785549462
2024-07-16,28930.4132502899
2024-08-19,29439.80577945007
2024-08-20,29519.75556734916
2024-08-21,29852.105011493335
2024-08-22,29921.144497045443
2024-08-23,29941.25795810322
2024-08-24,-5511.966586689396
2024-08-25,-5495.158372961687
2024-08-26,29557.676440439558
2024-08-27,29637.626228403853
2024-08-28,29969.975672438697
2024-08-29,30039.015158000853
2024-08-30,30059.128619023886
2024-08-31,-5394.095925786831
2024-09-01,-5377.287712005473
2024-09-02,29675.54710138381
2024-09-03,29755.49688933933
2024-09-04,30087.846333384805
2024-09-05,30156.88581895626
2024-09-06,30176.99927997
2024-09-07,-5276.225264751949
2024-09-08,-5259.417051148761
2024-09-09,29793.417762353973
2024-09-10,29873.367550274816
2024-09-11,30205.716994330163
2024-09-12,30274.756479874275
2024-09-13,30294.869940916113
2024-09-14,-5158.3546038174645
2024-09-15,-5141.546390224652
2024-09-16,29911.288423324135
2024-09-17,29991.238211224878
2024-09-18,30323.58765527481
2024-09-19,30392.62714081577
2024-09-20,30412.74060183678
2024-09-21,-5040.483942882969
2024-09-22,-5023.675729236347
