ds,yhat
2024-07-15,9485.347007885068
2024-07-16,9496.13143979395
2024-08-19,9511.054789778265
2024-08-20,9558.489253595193
2024-08-21,9600.410914682578
2024-08-22,9610.57401672385
2024-08-23,9602.70408733166
2024-08-24,10099.03313445941
2024-08-25,5178.328873045059
2024-08-26,10804.85929416948
2024-08-27,11178.441265024097
2024-08-28,11505.077294492132
2024-08-29,11515.240396529498
2024-08-30,11507.37046713187
2024-08-31,12003.699514255492
2024-09-01,7082.995252847431
2024-09-02,12709.525673978385
2024-09-03,13083.107644828653
2024-09-04,13409.743674279758
2024-09-05,13419.906776335147
2024-09-06,13412.036846940777
2024-09-07,13908.365894070368
2024-09-08,8987.661632649597
2024-09-09,14614.192053782323
2024-09-10,14987.774024633203
2024-09-11,15314.41005408931
2024-09-12,15324.573156136077
2024-09-13,15316.703226749689
2024-09-14,15813.032273871213
2024-09-15,10892.328012452082
2024-09-16,16518.858433586258
2024-09-17,16892.440404428915
2024-09-18,17219.076433894632
2024-09-19,17229.239535930814
2024-09-20,17221.36960654989
2024-09-21,17717.698653672058
2024-09-22,12796.994392254337
