ds,yhat
2024-03-22,11222.813340809953
2024-07-15,13044.165898280004
2024-07-16,13082.689687561553
2024-08-19,13060.650614542974
2024-08-20,13099.157390589948
2024-08-21,13171.702798821825
2024-08-22,13213.302938119265
2024-08-23,13201.185662183245
2024-08-24,-4226.342233982178
2024-08-25,-4225.895725058799
2024-08-26,13063.94415766844
2024-08-27,13102.450933862794
2024-08-28,13174.996342283022
2024-08-29,13216.596481585406
2024-08-30,13204.479205632299
2024-08-31,-4223.048690541983
2024-09-01,-4222.602181592215
2024-09-02,13067.237701129205
2024-09-03,13105.744477319105
2024-09-04,13178.289885744467
2024-09-05,13219.890025051547
2024-09-06,13207.772749093829
2024-09-07,-4219.755147036754
2024-09-08,-4219.308638174762
2024-09-09,13070.53124460259
2024-09-10,13109.038020775422
2024-09-11,13181.58342920566
2024-09-12,13223.183568499237
2024-09-13,13211.066292555357
2024-09-14,-4216.4616035809395
2024-09-15,-4216.015094723851
2024-09-16,13073.824788075977
2024-09-17,13112.331564238812
2024-09-18,13184.876972666647
2024-09-19,13226.477111958524
2024-09-20,13214.359836004413
2024-09-21,-4213.168060125126
2024-09-22,-4212.721551241595
