ds,yhat
2024-03-22,20122.090044185024
2024-07-15,24327.13788492514
2024-07-16,24364.697798190184
2024-08-19,24548.07802253129
2024-08-20,24585.61750866376
2024-08-21,24656.466475548426
2024-08-22,24654.644198160022
2024-08-23,24915.170344915692
2024-08-24,-6251.451597806461
2024-08-25,-6245.15308844886
2024-08-26,24592.26197928417
2024-08-27,24629.80146559855
2024-08-28,24700.65043258402
2024-08-29,24698.828155204803
2024-08-30,24959.35430193
2024-08-31,-6207.267640808275
2024-09-01,-6200.969131403475
2024-09-02,24636.445936318996
2024-09-03,24673.985422625567
2024-09-04,24744.834389620624
2024-09-05,24743.012112249584
2024-09-06,25003.538258966626
2024-09-07,-6163.083683693543
2024-09-08,-6156.785174445584
2024-09-09,24680.629893376754
2024-09-10,24718.16937965258
2024-09-11,24789.01834665622
2024-09-12,24787.1960692609
2024-09-13,25047.722216003254
2024-09-14,-6118.899726667258
2024-09-15,-6112.601217428524
2024-09-16,24724.81385043452
2024-09-17,24762.353336692606
2024-09-18,24833.202303692124
2024-09-19,24831.380026293577
2024-09-20,25091.906173017564
2024-09-21,-6074.715769640969
2024-09-22,-6068.417260354803
