ds,yhat
2024-03-22,3648.9467847325227
2024-07-15,4083.5622804153345
2024-07-16,4095.736451387966
2024-08-19,4101.745326321707
2024-08-20,4113.91543683367
2024-08-21,4128.352257782676
2024-08-22,4138.450516176715
2024-08-23,4138.064523047774
2024-08-24,-1530.405936707191
2024-08-25,-1529.888854614242
2024-08-26,4105.381124668944
2024-08-27,4117.5512352344285
2024-08-28,4131.988056199388
2024-08-29,4142.086314595041
2024-08-30,4141.700321460539
2024-08-31,-1526.7701382973128
2024-09-01,-1526.2530561957715
2024-09-02,4109.0169230855245
2024-09-03,4121.187033649551
2024-09-04,4135.6238546161685
2024-09-05,4145.722113013368
2024-09-06,4145.336119877367
2024-09-07,-1523.1343398662661
2024-09-08,-1522.6172577933085
2024-09-09,4112.65272150621
2024-09-10,4124.822832064672
2024-09-11,4139.25965303288
2024-09-12,4149.35791142568
2024-09-13,4148.971918294195
2024-09-14,-1519.4985414513044
2024-09-15,-1518.981459379937
2024-09-16,4116.288519926895
2024-09-17,4128.458630482092
2024-09-18,4142.895451449556
2024-09-19,4152.99370984177
2024-09-20,4152.60771670696
2024-09-21,-1515.8627430363413
2024-09-22,-1515.3456609563664
