ds,yhat
2024-03-22,18004.028472272093
2024-07-15,19737.300682829595
2024-07-16,19814.284527680913
2024-08-19,20104.96042977203
2024-08-20,20181.962678279517
2024-08-21,20355.017491100665
2024-08-22,20413.273556559092
2024-08-23,20380.65439071571
2024-08-24,-7561.841792034558
2024-08-25,-7551.351338174169
2024-08-26,20178.621205607364
2024-08-27,20255.623452347958
2024-08-28,20428.678264034043
2024-08-29,20486.93432950036
2024-08-30,20454.315163629573
2024-08-31,-7488.181019134905
2024-09-01,-7477.690565232193
2024-09-02,20252.28197854
2024-09-03,20329.284225273506
2024-09-04,20502.3390369678
2024-09-05,20560.595102441635
2024-09-06,20527.97593656348
2024-09-07,-7414.520246130956
2024-09-08,-7404.0297923689595
2024-09-09,20325.94275149291
2024-09-10,20402.94499819906
2024-09-11,20575.99980990118
2024-09-12,20634.255875353432
2024-09-13,20601.636709497383
2024-09-14,-7340.859473206214
2024-09-15,-7330.369019452153
2024-09-16,20399.603524445814
2024-09-17,20476.605771135964
2024-09-18,20649.660582834127
2024-09-19,20707.916648283688
2024-09-20,20675.29748241125
2024-09-21,-7267.198700281468
2024-09-22,-7256.708246484994
