ds,yhat
2024-03-22,22743.531247557356
2024-07-15,28698.58910978168
2024-07-16,28773.999460571922
2024-08-19,28649.738477661576
2024-08-20,28725.091183370532
2024-08-21,28896.545254462762
2024-08-22,29046.732487148292
2024-08-23,29029.36381929907
2024-08-24,-6247.824016155821
2024-08-25,-6249.225622374186
2024-08-26,28639.95682298909
2024-08-27,28715.309528733174
2024-08-28,28886.763599899263
2024-08-29,29036.950832594805
2024-08-30,29019.582164711042
2024-08-31,-6257.605670761735
2024-09-01,-6259.007276926801
2024-09-02,28630.175168424685
2024-09-03,28705.527874159805
2024-09-04,28876.981945336425
2024-09-05,29027.169178041324
2024-09-06,29009.80051014814
2024-09-07,-6267.387325236137
2024-09-08,-6268.788931578627
2024-09-09,28620.39351388581
2024-09-10,28695.746219586435
2024-09-11,28867.200290772922
2024-09-12,29017.387523450372
2024-09-13,29000.018855585236
2024-09-14,-6277.16897981054
2024-09-15,-6278.570586162899
2024-09-16,28610.611859346944
2024-09-17,28685.964565027425
2024-09-18,28857.418636208786
2024-09-19,29007.605868883125
2024-09-20,28990.23720099721
2024-09-21,-6286.95063438495
2024-09-22,-6288.352240683849
