ds,yhat
2024-03-22,30234.650654693512
2024-07-15,36458.47462633487
2024-07-16,36497.434229676815
2024-08-19,36092.39283037056
2024-08-20,36131.237740519115
2024-08-21,36362.83305218315
2024-08-22,36432.787039029296
2024-08-23,36551.25789700121
2024-08-24,-10348.6585515445
2024-08-25,-10359.151346238734
2024-08-26,36019.15353659318
2024-08-27,36057.998446933576
2024-08-28,36289.59375848159
2024-08-29,36359.5477453412
2024-08-30,36478.018603267185
2024-08-31,-10421.897845302548
2024-09-01,-10432.390639925805
2024-09-02,35945.9142428903
2024-09-03,35984.75915321894
2024-09-04,36216.35446478108
2024-09-05,36286.3084516531
2024-09-06,36404.77930956676
2024-09-07,-10495.137138885522
2024-09-08,-10505.629933744636
2024-09-09,35872.67494922167
2024-09-10,35911.519859504304
2024-09-11,36143.11517107951
2024-09-12,36213.0691579151
2024-09-13,36331.54001586632
2024-09-14,-10568.376432601384
2024-09-15,-10578.869227474119
2024-09-16,35799.43565555305
2024-09-17,35838.280565808964
2024-09-18,36069.8758773775
2024-09-19,36139.82986420865
2024-09-20,36258.30072213229
2024-09-21,-10641.615726317254
2024-09-22,-10652.108521118767
