ds,yhat
2024-07-15,13950.603335918364
2024-07-16,14026.095750472883
2024-08-19,13879.157613797232
2024-08-20,13954.650412098057
2024-08-21,14034.723757750886
2024-08-22,14069.773990604193
2024-08-23,13992.185682102412
2024-08-24,-7903.952690407959
2024-08-25,-7905.997971244012
2024-08-26,13864.870771301
2024-08-27,13940.363569591658
2024-08-28,14020.436915249524
2024-08-29,14055.487148108985
2024-08-30,13977.898839585734
2024-08-31,-7918.239532935726
2024-09-01,-7920.284813738604
2024-09-02,13850.583928799144
2024-09-03,13926.076727084155
2024-09-04,14006.15007274834
2024-09-05,14041.20030561378
2024-09-06,13963.61199708473
2024-09-07,-7932.526375381805
2024-09-08,-7934.571656295061
2024-09-09,13836.297086313076
2024-09-10,13911.789884576652
2024-09-11,13991.863230246978
2024-09-12,14026.913463095545
2024-09-13,13949.325154583727
2024-09-14,-7946.813217889972
2024-09-15,-7948.858498809289
2024-09-16,13822.010243827004
2024-09-17,13897.503042077955
2024-09-18,13977.576387745354
2024-09-19,14012.62662059169
2024-09-20,13935.038312067049
2024-09-21,-7961.100060398143
2024-09-22,-7963.145341284248
