ds,yhat
2024-03-22,206.72397475977365
2024-07-15,161.31944831300697
2024-07-16,162.3260842774866
2024-08-19,161.63750977078303
2024-08-20,162.64414573373608
2024-08-21,192.03757359869974
2024-08-22,192.0381424410992
2024-08-23,208.12342950045854
2024-08-24,-108.50647212554037
2024-08-25,-108.49741658245722
2024-08-26,161.7011220534798
2024-08-27,162.7077580162195
2024-08-28,192.10118588028618
2024-08-29,192.10175472278883
2024-08-30,208.1870417818568
2024-08-31,-108.44285984431822
2024-09-01,-108.43380430078297
2024-09-02,161.76473433502377
2024-09-03,162.77137029774073
2024-09-04,192.16479816197062
2024-09-05,192.1653670044784
2024-09-06,208.25065406347056
2024-09-07,-108.37924756193237
2024-09-08,-108.37019201987081
2024-09-09,161.82834661684416
2024-09-10,162.83498257926203
2024-09-11,192.22841044355704
2024-09-12,192.22897928583535
2024-09-13,208.3142663450843
2024-09-14,-108.31563528041448
2024-09-15,-108.30657973851415
2024-09-16,161.89195889866463
2024-09-17,162.89859486096395
2024-09-18,192.29202272510383
2024-09-19,192.2925915674326
2024-09-20,208.37787862648258
2024-09-21,-108.25202299889652
2024-09-22,-108.24296745652227
