ds,yhat
2024-03-22,12064.391608669983
2024-07-15,14462.170553990733
2024-07-16,14561.560400633063
2024-08-19,14403.608485828794
2024-08-20,14477.68981474924
2024-08-21,14591.297902444156
2024-08-22,14637.401912553789
2024-08-23,14647.08017092051
2024-08-24,-4066.7659629330265
2024-08-25,-4069.1633183691283
2024-08-26,14386.834369494522
2024-08-27,14460.915698401208
2024-08-28,14574.523785981113
2024-08-29,14620.627796096094
2024-08-30,14630.30605444455
2024-08-31,-4083.540079418499
2024-09-01,-4085.937434826368
2024-09-02,14370.06025303101
2024-09-03,14444.141581933007
2024-09-04,14557.749669518595
2024-09-05,14603.8536796384
2024-09-06,14613.531937981887
2024-09-07,-4100.314195834229
2024-09-08,-4102.711551336057
2024-09-09,14353.286136581115
2024-09-10,14427.367465464813
2024-09-11,14540.975553055552
2024-09-12,14587.079563160925
2024-09-13,14596.757821519219
2024-09-14,-4117.08831230298
2024-09-15,-4119.485667810137
2024-09-16,14336.51202013122
2024-09-17,14410.593349004319
2024-09-18,14524.201436592275
2024-09-19,14570.305446696002
2024-09-20,14579.983705043262
2024-09-21,-4133.862428771732
2024-09-22,-4136.25978425054
