ds,yhat
2024-03-22,17262.032101594414
2024-07-15,20948.095601560475
2024-07-16,21075.90977536161
2024-08-19,20943.501722855726
2024-08-20,21071.311868388286
2024-08-21,21228.74114690245
2024-08-22,21295.73455195175
2024-08-23,21314.55555815385
2024-08-24,-5455.697672883245
2024-08-25,-5455.836265319809
2024-08-26,20942.58214085213
2024-08-27,21070.39228632729
2024-08-28,21227.82156486947
2024-08-29,21294.814969926443
2024-08-30,21313.635976102436
2024-08-31,-5456.617254948265
2024-09-01,-5456.755847344462
2024-09-02,20941.662558818505
2024-09-03,21069.472704286964
2024-09-04,21226.90198283729
2024-09-05,21293.89538790113
2024-09-06,21312.716394069997
2024-09-07,-5457.536836913532
2024-09-08,-5457.675429444131
2024-09-09,20940.742976804366
2024-09-10,21068.553122246638
2024-09-11,21225.98240080431
2024-09-12,21292.975805847527
2024-09-13,21311.79681203756
2024-09-14,-5458.456418954665
2024-09-15,-5458.595011492853
2024-09-16,20939.823394790226
2024-09-17,21067.633540217346
2024-09-18,21225.062818771054
2024-09-19,21292.056223811906
2024-09-20,21310.877229986138
2024-09-21,-5459.376000995793
2024-09-22,-5459.514593493435
