ds,yhat
2024-03-22,9177.799608407451
2024-07-15,10177.148203693881
2024-07-16,10214.720387616566
2024-08-19,10164.155071408357
2024-08-20,10201.73647221318
2024-08-21,10225.928735617212
2024-08-22,10240.383644088059
2024-08-23,10250.791421827344
2024-08-24,-4060.3213342617055
2024-08-25,-4060.69973451237
2024-08-26,10161.620964248996
2024-08-27,10199.202365161891
2024-08-28,10223.394628620124
2024-08-29,10237.84953709507
2024-08-30,10248.257314820328
2024-08-31,-4062.855441276017
2024-09-01,-4063.2338415049935
2024-09-02,10159.086857251597
2024-09-03,10196.66825816081
2024-09-04,10220.86052162325
2024-09-05,10235.315430102077
2024-09-06,10245.72320782356
2024-09-07,-4065.389548236886
2024-09-08,-4065.767948538015
2024-09-09,10156.552750264575
2024-09-10,10194.134151159727
2024-09-11,10218.32641462616
2024-09-12,10232.781323093901
2024-09-13,10243.189100826787
2024-09-14,-4067.9236552383672
2024-09-15,-4068.3020555435214
2024-09-16,10154.018643277552
2024-09-17,10191.600044164461
2024-09-18,10215.792307629057
2024-09-19,10230.247216095286
2024-09-20,10240.654993819775
2024-09-21,-4070.45776223985
2024-09-22,-4070.8361625232683
