ds,yhat
2024-07-15,14704.16221285607
2024-07-16,14718.852133498141
2024-08-19,14629.842226175442
2024-08-20,14727.902134262058
2024-08-21,14848.498514266397
2024-08-22,14919.127127479233
2024-08-23,14897.019105424388
2024-08-24,-52013.69025526565
2024-08-25,20762.719915806276
2024-08-26,14780.937442655111
2024-08-27,14882.680963507115
2024-08-28,15003.277346564213
2024-08-29,15073.905959845346
2024-08-30,15051.79793780217
2024-08-31,-51858.9114228622
2024-09-01,20917.498748223217
2024-09-02,14935.716274961564
2024-09-03,15037.459795856
2024-09-04,15158.056179157265
2024-09-05,15228.684792211456
2024-09-06,15206.576770109918
2024-09-07,-51704.132590480796
2024-09-08,21072.27758045058
2024-09-09,15090.495107382047
2024-09-10,15192.238628204886
2024-09-11,15312.835011455081
2024-09-12,15383.46362459205
2024-09-13,15361.355602417658
2024-09-14,-51549.35375808277
2024-09-15,21227.05641280724
2024-09-16,15245.273939802535
2024-09-17,15347.017460698979
2024-09-18,15467.61384381464
2024-09-19,15538.242457078952
2024-09-20,15516.134434795445
2024-09-21,-51394.574925684756
2024-09-22,21381.83524528445
