ds,yhat
2024-07-15,17952.7428304162
2024-07-16,17961.647716406987
2024-08-19,17876.304082237304
2024-08-20,17991.53914825961
2024-08-21,18098.76391714677
2024-08-22,18170.933190708674
2024-08-23,18145.46252672455
2024-08-24,133524.13794117706
2024-08-25,-51963.80396754548
2024-08-26,15399.595646144448
2024-08-27,15049.638875804685
2024-08-28,15156.673454097883
2024-08-29,15228.84272750189
2024-08-30,15203.372063435458
2024-08-31,130582.04747779519
2024-09-01,-54905.894430880624
2024-09-02,12457.505183071777
2024-09-03,12107.548412611337
2024-09-04,12214.582990301826
2024-09-05,12286.752264295106
2024-09-06,12261.281600362136
2024-09-07,127639.9570146713
2024-09-08,-57847.98489388316
2024-09-09,9515.414719749046
2024-09-10,9165.457949417989
2024-09-11,9272.492527252944
2024-09-12,9344.661800993146
2024-09-13,9319.191137288823
2024-09-14,124697.86655135122
2024-09-15,-60790.075357113776
2024-09-16,6573.324256426299
2024-09-17,6223.367485878552
2024-09-18,6330.402064044736
2024-09-19,6402.571337459277
2024-09-20,6377.100673999721
2024-09-21,121755.77608803113
2024-09-22,-63732.1658205534
