ds,yhat
2024-03-22,6509.294088710681
2024-07-15,7736.9914013714815
2024-07-16,7767.807702330734
2024-08-19,7913.856691975949
2024-08-20,7944.699817033334
2024-08-21,7995.698062989434
2024-08-22,8016.9674915938795
2024-08-23,7996.637298695778
2024-08-24,-2115.5301337624096
2024-08-25,-2110.4614765218603
2024-08-26,7949.417518668082
2024-08-27,7980.260643706226
2024-08-28,8031.258889653863
2024-08-29,8052.528318261154
2024-08-30,8032.198125353125
2024-08-31,-2079.969307110199
2024-09-01,-2074.900649854315
2024-09-02,7984.978345332258
2024-09-03,8015.821470367811
2024-09-04,8066.8197163183795
2024-09-05,8088.08914492843
2024-09-06,8067.758952017731
2024-09-07,-2044.4084804202284
2024-09-08,-2039.3398232153359
2024-09-09,8020.53917200375
2024-09-10,8051.382297029395
2024-09-11,8102.380542982806
2024-09-12,8123.649971585047
2024-09-13,8103.3197786823375
2024-09-14,-2008.8476537589431
2024-09-15,-2003.7789965568863
2024-09-16,8056.099998675239
2024-09-17,8086.943123695064
2024-09-18,8137.9413696470965
2024-09-19,8159.210798248318
2024-09-20,8138.880605339686
2024-09-21,-1973.286827097656
2024-09-22,-1968.218169880247
